Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards
Manuel Neuer,Bayern Munich,GER,GK,34,33,33,2970,0,0,1316,86.3,0,0,0.0,0.01,1,0
Thomas Müller,Bayern Munich,GER,MF,30,32,31,2674,11,19,1529,74.1,1,1,0.24,0.39,0,0
David Alaba,Bayern Munich,AUT,"DF,MF",28,32,30,2675,2,4,2251,85.1,0,0,0.04,0.08,4,0
Jérôme Boateng,Bayern Munich,GER,DF,31,29,29,2368,1,1,1964,89.4,0,0,0.01,0.02,6,0
Robert Lewandowski,Bayern Munich,POL,FW,31,29,28,2458,41,7,710,76.5,8,9,1.16,0.13,4,0
Joshua Kimmich,Bayern Munich,GER,MF,25,27,25,2194,4,10,2131,84.0,0,0,0.1,0.27,4,0
Kingsley Coman,Bayern Munich,FRA,"FW,MF",24,29,23,1752,5,10,856,79.4,0,0,0.21,0.34,1,0
Benjamin Pavard,Bayern Munich,FRA,DF,24,24,22,1943,0,0,1680,85.4,0,0,0.02,0.09,3,0
Alphonso Davies,Bayern Munich,CAN,DF,19,23,22,1763,1,2,1504,89.0,0,0,0.01,0.04,2,1
Serge Gnabry,Bayern Munich,GER,"FW,MF",25,27,20,1644,10,2,858,78.1,0,0,0.44,0.25,4,0
Leroy Sané,Bayern Munich,GER,"FW,MF",24,32,18,1805,6,9,825,74.7,0,0,0.28,0.32,2,0
Leon Goretzka,Bayern Munich,GER,MF,25,24,18,1705,5,5,1059,88.0,0,0,0.21,0.14,2,0
Lucas Hernández,Bayern Munich,FRA,DF,24,23,18,1597,0,2,1307,84.7,0,0,0.05,0.07,4,0
Niklas Süle,Bayern Munich,GER,DF,24,20,16,1505,1,0,1312,91.0,0,0,0.07,0.02,1,0
Eric Maxim Choupo-Moting,Bayern Munich,CMR,"FW,MF",31,22,8,820,3,0,220,80.9,0,0,0.35,0.17,2,0
Jamal Musiala,Bayern Munich,GER,"FW,MF",17,26,7,881,6,1,435,84.8,0,0,0.31,0.09,0,0
Corentin Tolisso,Bayern Munich,FRA,MF,25,16,7,781,1,0,546,85.9,0,0,0.26,0.06,1,1
Bouna Sarr,Bayern Munich,GUI,DF,28,8,5,452,0,1,385,88.3,0,0,0.02,0.02,1,0
Javi Martínez,Bayern Munich,ESP,"DF,MF",31,19,4,466,0,0,390,90.3,0,0,0.06,0.03,0,0
Douglas Costa,Bayern Munich,BRA,"FW,MF",29,11,3,320,1,1,187,69.0,0,0,0.04,0.19,0,0
Marc Roca,Bayern Munich,ESP,MF,23,6,2,177,0,0,123,90.2,0,0,0.13,0.01,1,0
Joshua Zirkzee,Bayern Munich,NED,FW,19,3,1,92,0,0,30,80.0,0,0,0.35,0.17,0,0
Alexander Nübel,Bayern Munich,GER,GK,23,1,1,90,0,0,35,94.3,0,0,0.0,0.0,0,0
Josip Stanišić,Bayern Munich,GER,DF,20,1,1,90,0,0,61,90.2,0,0,0.16,0.0,0,0
Chris Richards,Bayern Munich,USA,DF,20,3,1,89,0,1,87,90.8,0,0,0.0,0.26,0,0
Tiago Dantas,Bayern Munich,POR,MF,19,2,1,69,0,0,35,80.0,0,0,0.0,0.05,0,0
Nianzou Kouassi,Bayern Munich,FRA,"DF,MF",18,6,0,118,0,0,86,90.7,0,0,0.0,0.0,1,1
Christopher Scott,Bayern Munich,GER,"FW,MF",18,2,0,34,0,0,8,75.0,0,0,0.09,0.0,0,0
Mickaël Cuisance,Bayern Munich,FRA,FW,20,1,0,18,0,0,10,90.0,0,0,0.0,0.0,0,0
Péter Gulácsi,RB Leipzig,HUN,GK,30,33,33,2970,0,0,1169,86.7,0,0,0.0,0.0,0,0
Dayot Upamecano,RB Leipzig,FRA,DF,21,29,27,2330,1,0,2192,89.1,0,0,0.04,0.04,6,0
Dani Olmo,RB Leipzig,ESP,"MF,FW",22,32,26,2194,5,9,1261,77.9,1,1,0.31,0.2,1,0
Willi Orban,RB Leipzig,HUN,DF,27,29,25,2363,4,1,2057,88.3,0,0,0.13,0.03,4,0
Angeliño,RB Leipzig,ESP,"DF,FW",23,26,24,2161,4,4,1490,71.1,0,0,0.16,0.21,2,0
Marcel Sabitzer,RB Leipzig,AUT,MF,26,27,24,2026,8,3,1344,79.5,4,4,0.32,0.1,8,0
Kevin Kampl,RB Leipzig,SVN,MF,29,27,24,1932,0,1,1429,89.9,0,0,0.05,0.09,6,0
Amadou Haidara,RB Leipzig,MLI,"MF,DF",22,31,21,1905,3,1,1110,80.3,0,0,0.21,0.12,4,0
Tyler Adams,RB Leipzig,USA,"DF,MF",21,27,21,1850,1,1,1375,86.1,0,0,0.04,0.04,3,0
Nordi Mukiele,RB Leipzig,FRA,DF,22,28,21,1677,3,1,1144,77.9,0,0,0.12,0.08,5,0
Emil Forsberg,RB Leipzig,SWE,"FW,MF",28,29,20,1539,7,4,603,77.4,2,3,0.34,0.31,0,0
Christopher Nkunku,RB Leipzig,FRA,"FW,MF",22,28,19,1892,6,6,1011,77.8,0,0,0.37,0.36,2,0
Marcel Halstenberg,RB Leipzig,GER,DF,28,24,19,1651,2,2,1638,87.8,1,1,0.1,0.14,2,0
Lukas Klostermann,RB Leipzig,GER,DF,24,23,15,1446,1,0,1153,88.4,0,0,0.05,0.03,2,0
Yussuf Poulsen,RB Leipzig,DEN,FW,26,27,14,1354,5,4,453,71.3,0,0,0.33,0.19,1,0
Alexander Sørloth,RB Leipzig,NOR,FW,24,29,13,1443,5,3,480,75.2,0,1,0.4,0.14,2,0
Justin Kluivert,RB Leipzig,NED,FW,21,19,8,813,3,1,250,69.2,0,0,0.4,0.14,2,0
